production,number_of_movies,domestic_revenue,total_revenue
Killer Films,28,"73,777,773","161,621,407"
Centre National du Cinema et de L Image Animee,28,"13,089,592","94,740,549"
Why Not Productions,27,"241,680,654","512,702,169"
CJ Entertainment,27,"67,159,889","761,168,058"
Screen Yorkshire,27,"11,966,870","78,287,883"
Medienboard Berlin-Brandenburg,27,"7,786,648","86,865,586"
Lionsgate Premiere,27,"48,084","32,753,615"
Marc Platt Productions,26,"974,437,094","2,172,539,388"
Dimension Films,26,"691,562,955","1,301,629,315"
Stage 6 Films,26,"452,457,953","848,310,875"
RTBF,26,"9,444,958","102,478,029"
WDR,26,"4,266,195","27,432,064"
ITVS,26,"4,027,423","4,175,845"
Abramorama,26,"957,682","1,490,337"
Heyday Films,25,"3,516,222,325","11,023,472,718"
Skydance Productions,25,"2,045,149,516","5,912,612,916"
Eon Productions,25,"1,907,784,162","6,355,731,979"
Mandeville Films,25,"1,599,408,407","3,213,878,505"
Constantin Film,25,"569,103,775","2,097,015,563"
Momentum Pictures,25,"179,122,127","565,888,683"
Ontario Media Development Corporation,25,"38,726,975","79,948,301"
Mars Films,25,"15,571,150","227,102,046"
Danish Film Institute,25,"3,940,389","13,003,713"
Disney-Pixar,24,"6,074,756,959","14,504,473,808"
LStar Capital,24,"1,505,003,967","3,698,140,413"
United Artists,24,"1,075,236,299","2,908,791,381"
Thunder Road Film,24,"948,759,982","2,228,479,571"
LD Entertainment,24,"307,510,838","416,329,481"
Vertigo Films,24,"272,614,227","673,928,887"
Hyayi Brothers Corp.,24,"230,319,851","1,481,724,194"
Sony Pictures Classics,24,"59,603,440","210,960,273"
HBO Documentary Films,24,"5,537,422","26,339,319"
Oscilloscope Laboratories,24,"2,881,691","10,425,543"
Lucasfilm,23,"5,658,835,730","11,632,638,289"
Walt Disney Animation Studios,23,"3,761,839,698","10,212,100,824"
Chernin Entertainment,23,"1,895,327,188","4,635,113,441"
Sony Pictures Animation,23,"1,752,216,821","4,878,311,794"
Escape Artists,23,"1,009,887,490","1,954,606,972"
Worldview Entertainment,23,"77,201,934","188,871,890"
Cohen Media Group,23,"39,327,207","84,375,094"
Fox Star Studios,23,"24,361,907","203,897,091"
Nordisk Film,23,"17,713,173","126,928,284"
Umedia,23,"9,940,710","69,226,225"
Emmett Furla Oasis Films,23,"9,169,420","35,789,994"
Pandora Filmproduktion,23,"7,914,430","79,437,584"
Motto Pictures,23,"7,865,366","8,779,359"
1492 Pictures,22,"2,473,204,496","6,161,739,280"
Red Hour Productions,22,"703,899,231","1,191,352,215"
OCS.,22,"72,438,919","371,374,862"
Cinereach Films,22,"33,479,073","45,220,239"
Screen NSW,22,"9,516,965","104,801,357"
Great Point Media,22,"1,613,304","6,479,195"
Jerry Bruckheimer,21,"3,100,355,178","7,379,657,476"
Overbrook Entertainment,21,"1,729,726,060","3,887,649,085"
The Safran Company,21,"1,140,105,358","3,405,485,502"
Gary Sanchez Productions,21,"1,108,845,084","1,673,245,658"
Jersey Films,21,"782,151,943","1,265,606,455"
Appian Way,21,"730,273,929","1,903,522,674"
Cross Creek Pictures,21,"521,931,372","1,443,848,233"
CBS Films,21,"484,504,672","833,063,211"
Open Road Films,21,"422,062,115","739,816,796"
Sidney Kimmel Entertainment,21,"316,593,682","576,623,030"
Wanda Media,21,"184,393,825","2,883,131,835"
Silver Reel Entertainment,21,"82,861,739","250,797,583"
Rabbit Bandini Productions,21,"36,834,747","62,150,918"
SVT,21,"11,411,161","103,723,068"
Northern Ireland Screen,21,"2,016,167","20,150,102"
Epic Pictures Group,21,"273,415","4,862,191"
Bad Robot,20,"3,055,104,013","7,142,081,597"
Mandate Pictures,20,"765,916,964","1,203,285,029"
Goldcrest Films,20,"229,018,589","519,392,914"
Roadside Attractions,20,"125,057,105","210,448,571"
Protagonist Pictures,20,"38,010,369","96,501,446"
Parts and Labor,20,"35,939,754","65,262,110"
Harold Greenberg Fund,20,"15,982,455","46,690,652"
The Movie Network,20,"9,904,152","29,684,086"
Isle of Man Film,20,"8,959,846","115,148,510"
Creative England,20,"5,776,493","34,558,664"
First Run Features,20,"217,309","217,309"
Nickelodeon Films,19,"928,527,878","1,779,114,889"
Bron Creative,19,"776,095,577","1,724,491,443"
Sony Pictures,19,"517,049,935","1,011,887,007"
Radar Pictures,19,"378,549,701","1,047,010,999"
Anton Capital Entertainment,19,"253,902,058","993,196,742"
Black Bear,19,"154,867,853","342,582,860"
Bleecker Street,19,"58,400,958","119,515,703"
Film Victoria,19,"53,354,539","164,669,036"
The Solution Entertainment Group,19,"35,411,510","56,165,520"
Highland Film Group,19,"4,324,155","7,692,696"
Chicken and Egg Pictures,19,"2,801,437","2,884,123"
FFilm Cymru Wales,19,"998,863","1,534,439"
Xlrator Media,19,0,"7,044,156"
Brian Grazer Productions,18,"1,483,055,356","3,438,965,595"
MTV Films,18,"768,710,310","1,166,035,559"
Will Packer Productions,18,"670,299,204","807,115,231"
Fuji Television Network,18,"634,683,759","1,941,543,025"
Nu Image,18,"535,583,036","1,521,635,080"
Hyde Park Entertainment,18,"313,663,269","495,436,994"
See-Saw Films,18,"256,765,870","744,425,129"
Pantelion Films,18,"138,913,793","266,593,234"
Likely Story,18,"135,287,014","295,038,293"
Element Pictures,18,"71,646,692","207,131,380"
Faliro House Productions,18,"39,206,637","81,793,386"
Yash Raj Films,18,"19,446,703","284,204,009"
BBC Storyville,18,"6,268,986","10,956,759"
Artemis Prods,18,"4,179,181","93,732,286"
Whitewater Films,18,"2,780,532","3,248,493"
Atlas Entertainment,17,"1,668,697,466","4,473,519,540"
GK Films,17,"1,239,325,149","3,469,165,646"
Malpaso Productions,17,"1,205,270,883","2,040,386,807"
Parkes+Macdonald Productions,17,"1,070,293,747","2,714,944,995"
Platinum Dunes,17,"1,008,125,530","1,895,359,344"
