production,number_of_movies,domestic_revenue,total_revenue
Vinyl Films,4,"129,670,266","191,958,689"
Dog Eat Dog,4,"129,443,174","232,556,451"
Halcyon Company,4,"126,618,823","373,693,633"
Yellow Bird,4,"123,972,042","335,725,712"
American Empirical,4,"112,094,169","269,053,220"
Silver Screen Partners III,4,"107,482,070","107,494,769"
Vinson Pictures,4,"101,630,708","252,450,887"
Serendipity Prods,4,"101,352,927","240,085,686"
Timur Bekmambetov,4,"99,196,803","322,437,425"
Brillstein Entertianment Partners,4,"98,874,994","143,841,447"
Pathe Renn Productions,4,"97,046,389","264,281,389"
Keep Your Head,4,"90,785,452","202,521,652"
3 In The Box Productions,4,"89,086,081","202,811,432"
Kroll and Company Entertainment,4,"84,158,461","198,173,682"
Cinergi Pictures Entertainment,4,"79,751,497","158,551,497"
June Pictures,4,"75,779,147","106,878,767"
Wayfare Entertainment,4,"75,427,846","207,228,846"
Pacific Standard,4,"72,780,533","98,457,998"
Stone Village,4,"69,534,989","112,291,597"
Finola Dwyer Productions,4,"69,299,361","148,665,092"
Battle Mountain Films,4,"68,386,399","107,024,978"
Ghoulardi Film Company,4,"68,007,314","161,763,285"
Michaels/Goldwyn,4,"63,016,709","80,775,235"
Friendly Films,4,"61,802,962","145,329,042"
Paul Schiff Productions,4,"60,608,005","108,601,430"
Chockstone Pictures,4,"58,719,348","175,634,112"
Fox Atomic,4,"55,769,207","107,452,576"
Ubisoft Entertainment,4,"54,647,948","240,759,682"
Grosvenor Park,4,"53,469,733","112,459,307"
Odyssey Entertainment,4,"52,893,021","159,631,995"
Fuqua Films,4,"52,421,953","94,156,456"
Aquarius Films,4,"51,780,684","151,028,924"
Qwerty Films,4,"51,584,616","124,553,980"
Stable Way Entertainment,4,"51,344,071","112,521,757"
Parabolic Pictures,4,"51,344,071","112,521,757"
Quadrant Pictures,4,"51,342,000","135,569,212"
Next Entertainment,4,"49,690,329","191,115,064"
Brookwell McNamara Entertainment,4,"47,530,421","50,921,227"
Incentive Filmed Entertainment,4,"46,257,109","85,442,308"
Bend It Films,4,"45,550,311","106,181,923"
Paramount Animation,4,"45,216,793","115,115,984"
Makeready,4,"43,808,310","47,674,398"
Informant Media,4,"43,254,360","68,167,026"
Silverback Films,4,"41,911,968","43,010,728"
Sneak Preview Entertainment,4,"41,824,790","44,296,382"
Nu Boyana,4,"40,860,396","106,623,367"
Decibel Films,4,"40,826,485","160,481,492"
Tucker Tooley,4,"37,607,431","63,342,786"
Cheyenne Enterprises LLC,4,"36,403,465","71,341,223"
Palomar Pictures,4,"35,656,955","70,388,400"
Berlanti Productions,4,"35,088,320","151,525,973"
Element Films,4,"33,822,873","60,041,037"
Quinta Communications,4,"33,601,785","107,835,571"
Entertainment Studios Motion Pictures,4,"32,699,249","56,875,466"
Crescendo Productions,4,"31,557,014","54,252,291"
Gold Star Films,4,"30,905,219","35,863,840"
Icon Entertainment International,4,"29,529,504","63,279,896"
Daybreak Pictures,4,"28,843,595","93,827,660"
Signature Pictures,4,"28,821,554","81,663,833"
AGBO,4,"28,539,757","40,013,645"
Eden Rock Media,4,"28,513,049","69,594,116"
Black Bicycle,4,"27,336,235","37,682,474"
Kadokawa Pictures,4,"26,890,041","142,294,278"
Tremolo Productions,4,"25,369,137","25,851,637"
Ambience Entertainment,4,"25,201,682","83,063,486"
Neverending Media,4,"24,719,691","67,186,385"
Hydraulx Entertainment,4,"23,175,976","75,399,483"
Broadway Video,4,"23,083,334","25,350,747"
Assemblage Entertainment,4,"22,939,882","44,773,184"
Bruce Cohen Productions,4,"21,076,200","27,564,795"
Vinod Chopra Films,4,"20,294,085","178,570,649"
Rajkumar Hirani Films,4,"19,188,380","175,166,748"
Square One Entertainment,4,"18,582,360","57,297,723"
PalmStar Media Capital,4,"17,677,103","46,559,090"
Before The Door,4,"17,366,390","39,666,916"
Magnolia Mae Films,4,"16,972,507","55,361,598"
TFI Films,4,"16,798,506","87,770,978"
Freestyle Releasing,4,"16,516,674","18,394,495"
Stampede Entertainment,4,"16,479,685","16,479,685"
WTA Group,4,"16,239,693","22,602,849"
Tempesta,4,"16,194,656","20,610,510"
RAW,4,"16,076,325","21,136,074"
Fortress Features,4,"14,526,008","19,367,070"
Haven Entertainment,4,"14,444,999","14,662,703"
Muse Productions,4,"14,376,962","31,582,983"
Busted Shark,4,"14,301,505","29,468,903"
Chic Films,4,"14,040,601","20,920,970"
Revolver Picture,4,"14,016,568","23,555,869"
Battleplan,4,"13,500,323","15,100,188"
Cine Mosaic,4,"13,312,033","25,785,171"
Film Vast,4,"13,079,297","25,624,507"
Handsomecharlie Films,4,"12,829,453","22,248,118"
Elle Driver,4,"12,771,032","19,042,769"
Serena Films,4,"12,721,688","26,263,070"
Rampant Entertainment,4,"12,317,087","15,159,798"
Awesomeness Films,4,"12,241,072","18,945,682"
Paris Films,4,"12,063,393","12,760,140"
Corner Piece Capital LLC,4,"11,914,769","31,032,531"
Scala Productions,4,"11,388,946","40,990,052"
Film Workshop Company,4,"11,052,728","192,482,389"
FIS Eireann,4,"10,793,359","19,063,904"
Ciby 2000,4,"10,102,521","13,130,868"
Pierce/Williams Entertainment,4,"9,697,865","16,337,748"
Filmwave,4,"9,383,157","26,074,379"
Greek Film Center,4,"9,242,041","18,098,315"
Baker Street,4,"9,121,388","31,451,355"
On The Corner Films,4,"8,413,144","26,752,638"
Lucky Monkey,4,"8,070,234","36,322,614"
Tadmor Group,4,"8,037,068","11,917,856"
Super Ecran,4,"7,939,484","17,161,322"
Canadian Broadcasting Corp,4,"7,814,941","12,112,324"
Fuego Films,4,"7,683,908","11,314,776"
Mpower Pictures,4,"7,617,881","10,829,794"
Corus Entertainment,4,"7,511,709","8,856,581"
Sil-Metropole Organisation,4,"7,227,501","349,504,643"
RSVP Entertainment,4,"6,794,770","32,282,801"
Houston King Productions,4,"6,697,218","6,818,674"
Ocean Blue Entertainment,4,"6,529,509","7,373,393"
Yoruba Saxon,4,"6,501,073","13,903,580"
Pictures in Paradise,4,"6,341,872","63,407,443"
Universal 1440 Entertainment,4,"6,216,897","6,216,897"
Lightbox,4,"5,975,770","7,890,387"
Cinemage 4,4,"5,832,656","88,115,301"
Cofinova 6,4,"5,534,131","101,709,417"
NZ on Air,4,"5,209,945","24,057,527"
Fu Works,4,"4,980,649","36,983,106"
Lionsgate UK,4,"4,906,771","42,810,838"
Instituto de la Cinematographia y Artes Audiovisuales,4,"4,540,543","47,181,735"
THINKFilm,4,"4,463,555","24,606,897"
Sikhya Entertainment,4,"4,231,500","15,611,607"
Hold Up Films & Productions,4,"3,973,447","13,662,705"
Magnolia Entertainment,4,"3,957,684","9,261,747"
Enlight Pictures,4,"3,689,534","645,762,087"
Tre Vanner Productions,4,"3,668,185","17,001,799"
Original Media,4,"3,397,997","7,223,039"
Colour Yellow Pictures,4,"3,395,319","6,660,833"
Ajay Devgn Films,4,"3,394,213","18,796,894"
Funny Balloons,4,"3,377,926","11,484,150"
Hyperion Media,4,"3,366,548","9,558,568"
Odyssey Media,4,"3,350,777","8,273,972"
19340 Productions,4,"3,168,664","5,650,874"
Mighty Engine,4,"3,061,118","3,363,524"
JK Film,4,"3,053,468","178,223,661"
Indomitable Entertainment,4,"2,986,310","6,335,173"
Hungarian National Film Fund,4,"2,900,725","12,090,164"
Les Films du Poisson,4,"2,834,785","3,029,006"
Twenty Twenty Vision,4,"2,749,876","26,979,214"
kth,4,"2,726,560","49,661,507"
Memento Films,4,"2,714,289","50,683,605"
KGB Media,4,"2,683,615","3,991,848"
Bifrost Pictures,4,"2,610,896","5,117,098"
Silver Linings Entertainment,4,"2,587,072","2,587,072"
Candescent Films,4,"2,549,247","2,678,414"
Salon,4,"2,536,956","10,266,689"
Olive Productions,4,"2,532,086","4,032,679"
Attic Light Films,4,"2,517,611","2,647,263"
Lunanime,4,"2,457,244","31,566,470"
Sunrise Pictures,4,"2,290,517","3,373,257"
Cinemaginaire,4,"2,241,496","4,306,754"
Pallas Film,4,"2,190,910","8,878,729"
Arches Films,4,"2,092,864","14,833,326"
UTA Independent Film Group,4,"2,045,495","3,764,625"
Hurricane Films,4,"2,025,110","7,122,708"
Andrew Lauren Productions,4,"1,952,971","3,301,658"
Ehud Bleiberg,4,"1,930,282","3,658,062"
Essential Filmproduktion,4,"1,901,728","9,739,866"
Zephyr Films Limited,4,"1,845,856","13,423,018"
Versus Entertainment,4,"1,831,390","32,399,719"
Danish Broadcasting Corporation,4,"1,802,593","5,944,879"
Bibi Film,4,"1,691,380","7,727,883"
Monkey Pack Films,4,"1,686,222","3,884,081"
Altimeter Films,4,"1,679,647","1,759,715"
Colorado Film Production,4,"1,625,201","2,592,626"
Eyeworks,4,"1,567,882","6,244,429"
Gigi Films,4,"1,435,241","1,994,035"
Powder Keg Pictures,4,"1,418,682","27,020,675"
Ibid Filmworks,4,"1,403,843","1,523,443"
Buffalo Film Company,4,"1,393,683","6,543,832"
Treetop Productions,4,"1,389,500","16,814,803"
Copenhagen Film Fund,4,"1,333,639","11,103,391"
Roxbury Films,4,"1,201,616","10,222,669"
Amber Entertainment,4,"1,189,795","1,278,001"
Khorgos Youth Enlight Pictures,4,"1,164,990","263,086,620"
Waters End Productions,4,"1,164,226","2,501,203"
iFeatures,4,"1,132,448","5,810,484"
CRRAV Nord-Pas de Calais,4,"1,096,507","23,176,221"
Lyla Films,4,"1,077,584","4,588,064"
Highway 61,4,"1,064,292","2,134,564"
RUV,4,"1,020,056","4,618,822"
Rouge International,4,"1,000,940","4,188,638"
Superlative Productions,4,"994,344","2,641,819"
Apple Film,4,"993,385","2,971,873"
Artemis Rising Films,4,"982,234","1,222,817"
Centre National du Cinema,4,"957,708","13,853,141"
Le Centre National du Cinema et de L'Image,4,"937,599","4,875,342"
Icelandic Film Centre,4,"915,091","4,526,542"
Periscope Entertainment,4,"908,478","1,089,534"
IQIYI Motion Pictures,4,"892,561","216,835,155"
Zee Studios,4,"880,000","13,730,991"
Omnijoi,4,"868,906","491,103,464"
Rogers Documentary Fund,4,"866,776","866,776"
Cofinova 14,4,"849,334","7,776,752"
Jour2Fete,4,"847,495","4,447,934"
Pola Pandora,4,"844,232","4,761,182"
Zentropa International Sweden,4,"790,465","20,310,312"
MoviePass,4,"771,930","2,339,207"
Lumanity,4,"755,153","2,649,396"
Unbound Feet Productions,4,"746,450","746,450"
ESX Entertainment,4,"725,042","725,514"
Panache Productions,4,"721,096","59,484,676"
Concordia Studio,4,"704,780","722,109"
War Party,4,"700,261","700,261"
Coalition Film,4,"699,421","1,085,506"
Artemis,4,"684,917","3,235,297"
Gullane,4,"673,003","11,930,300"
Electric Dynamite,4,"669,688","772,366"
Radio Television Suisse,4,"658,812","16,413,602"
Xstream Pictures,4,"651,611","17,578,016"
BKM,4,"629,361","5,630,584"
Finnish Film Foundation,4,"623,873","13,494,405"
Pen India Pvt. Ltd.,4,"605,703","1,036,483"
Manon 5,4,"601,182","22,453,848"
Dark Arts,4,"597,622","670,122"
Sky Atlantic,4,"596,579","827,260"
Disarming Films,4,"553,348","2,547,349"
Terz Film,4,"531,080","4,604,818"
Floren Shieh Productions,4,"521,750","533,445"
Casa Kafka Pictures,4,"515,043","4,077,855"
Rectangle Productions,4,"507,718","2,661,371"
Bell Media,4,"493,814","642,332"
Panorama Films,4,"492,540","758,766"
Canal Brasil,4,"480,995","10,744,613"
Secret Engine,4,"471,286","484,134"
Vital Projects,4,"462,815","462,961"
Office Federal De La Culture,4,"454,009","10,493,439"
Integral Productions,4,"436,467","1,151,559"
Tripod Media Productions,4,"436,006","463,460"
Kojo Pictures,4,"412,340","1,942,032"
Nordmedia,4,"408,397","41,010,656"
Jonathan Schwartz,4,"401,323","524,451"
Rio Negro,4,"393,938","2,178,315"
ARP,4,"391,717","12,511,266"
San Francisco Film Society,4,"390,549","443,143"
SSR,4,"386,045","10,462,145"
L'Aide aux Cinema du Monde,4,"380,585","11,610,588"
Son's of Manual,4,"365,918","13,913,090"
Met Film Production,4,"362,915","3,729,849"
International Film Circuit,4,"350,830","350,830"
Big World Pictures,4,"348,066","529,591"
RSI Radiotelevisione Svizzera,4,"341,354","2,184,424"
Films Distribution,4,"331,115","6,516,106"
Little Punk,4,"317,243","641,802"
Noodles Production,4,"313,018","3,321,543"
The Talent Fund,4,"312,381","3,266,749"
Wrekin Hill Entertainment,4,"311,434","99,090,912"
Milkyway Image,4,"310,774","46,173,350"
Suissimage,4,"309,768","10,249,875"
Hulu,4,"297,195","319,284"
Hannover House,4,"293,318","293,318"
Office Kitano,4,"285,656","20,890,941"
Audax Films,4,"273,694","2,812,483"
Oscilloscope Pictures,4,"272,023","272,023"
Look to the Sky Films,4,"257,869","922,447"
Kick the Machine Films,4,"238,744","2,606,137"
Kandoo Films,4,"236,806","236,806"
Czech Television,4,"228,791","2,906,829"
Mountaintop Productions,4,"196,201","418,874"
Big Mouth Productions,4,"194,608","202,983"
Deluxe Australia,4,"191,909","4,303,781"
Storyland Pictures,4,"184,495","184,495"
Topkapi Films,4,"175,038","6,624,901"
Cranked Up Films,4,"164,346","223,713"
1091 Media,4,"151,307","159,264"
BRITDOC Foundations,4,"149,800","162,464"
Metro International,4,"148,275","4,562,582"
101 Films,4,"139,270","13,101,896"
Exhibit A Pictures,4,"137,061","137,061"
Altus Media,4,"135,904","20,183,304"
Cuba Pictures,4,"126,150","3,703,708"
Bloody Disgusting,4,"124,934","2,007,143"
Firefly Film,4,"123,310","256,478"
Endorfilm,4,"119,417","194,474"
Streetwise Films,4,"105,956","105,956"
Dada Films,4,"103,779","105,608"
Cattleya,4,"103,280","43,983,959"
Amuse Entertainment,4,"89,315","13,461,601"
Bond/360,4,"87,909","227,022"
Hoas Film,4,"84,335","308,417"
Influence Films,4,"83,583","223,668"
Versatile,4,"79,800","1,709,458"
Nomadic Independence Pictures,4,"78,339","456,994"
Schweizer Radio und Fernsehen,4,"77,441","256,885"
First Point Entertainment,4,"77,247","4,799,332"
Arclight Films International,4,"76,289","12,167,353"
Makor Foundation for Israeli Films,4,"73,138","89,380"
Bac Films,4,"70,978","19,130,924"
Greyshack Films,4,"67,224","67,224"
Foresight Features,4,"66,453","1,073,229"
Auvergne Rhone Alpes Cinema,4,"66,173","8,902,824"
Perceval Pictures,4,"63,739","1,195,717"
ArieScope Pictures,4,"62,000","62,000"
Sundance Documentary Film Program,4,"58,207","67,291"
Marlboro Road Gang,4,"54,876","54,876"
Tilted Windmill Productions,4,"51,121","51,121"
Filmbuff,4,"50,735","53,114"
Bert Marcus Productions,4,"50,722","228,614"
Norwegian Film Institute,4,"50,255","185,022"
Savage Productions,4,"47,702","2,859,857"
Bulgaria National Film Center,4,"47,108","1,737,546"
Driving With Our Eyes Shut,4,"46,821","47,606"
Instinctive Film,4,"43,441","181,803"
Spier Films,4,"43,318","304,737"
Logical Pictures,4,"40,937","338,294"
Onezero Productions,4,"40,508","40,508"
Juvee,4,"38,263","38,263"
Easy Open Productions,4,"37,294","37,294"
Gizmo Films,4,"37,012","916,884"
Making Film,4,"36,278","90,855"
Box Productions,4,"35,463","1,105,531"
Das Kleine Fernsehspiel,4,"32,541","112,029"
Resolute Films and Entertainment,4,"31,133","128,272"
3Sat,4,"29,244","30,433"
Closer Productions,4,"28,385","541,927"
Dreamscape Media,4,"27,516","80,913"
Valparaiso Picture,4,"24,246","26,227"
Traverse Media,4,"23,928","23,928"
Loterie Romande Fond Culturel,4,"22,389","397,098"
Summerstorm,4,"20,571","743,639"
Shellac Sud,4,"16,932","113,243"
Pan-Europeenne,4,"14,649","2,364,206"
The Genre Company,4,"14,568","1,134,108"
Lorton Entertainment,4,"14,018","469,132"
Radar Films.,4,"12,634","19,856,323"
Atlas Independent,4,"12,544","755,826"
The Pimenta Film Company,4,"12,049","702,494"
Bill and Ben,4,"11,998","7,179,017"
JBA Productions,4,"10,433","10,433"
Das Film,4,"9,995","175,569"
Little Film Company,4,"8,886","99,704"
Melbourne International Film Festival Premiere Fund,4,"8,168","20,470"
Echo Wolf Productions,4,"8,101","85,157"
Saboteur Media,4,"7,416","11,437"
Storyboard Media,4,"7,358","1,271,461"
Radiant Films International,4,"6,921","681,937"
BMP,4,"6,702","1,569,714"
Channel 83,4,"5,710","5,710"
Let it Play,4,"4,917","51,293"
The 7th Floor,4,"2,500","304,065"
Tresor Films,4,"1,737","58,400,082"
Chi-Fou-Mi Productions,4,"1,737","56,047,136"
Conglomerate Media,4,0,"2,339,561"
Red and Black Films,4,0,"2,266,267"
Nickel City Pictures,4,0,"1,608,467"
Hassell-Free Productions,4,0,"702,346"
AMBI Distribution,4,0,"656,248"
Cinestate,4,0,"422,006"
Paradox Studios,4,0,"359,182"
AMBI Pictures,4,0,"229,048"
GSP Studios,4,0,"184,377"
Tajj Media,4,0,"132,127"
Manis Films,4,0,"124,026"
Dartmouth Films,4,0,"52,456"
Wonderfilm Media,4,0,"47,036"
Redwire Pictures,4,0,"32,418"
Storyboard Entertainment,4,0,"28,374"
Envision Media Arts,4,0,"8,270"
Union Patriot Capital,4,0,436
Raven Banner Entertainment,4,0,297
Silver Nitrate,4,0,0
American High,4,0,0
Freestyle Digital Media,4,0,0
Moderncine,4,0,0
Addictive Pictures,4,0,0
Hollywood Media Bridge,4,0,0
Sugar23,4,0,0
Solstice Pictures,4,0,0
Oakhurst Entertainment,4,0,0
Aqute Media,4,0,0
Freckle Films,4,0,0
Hacienda Film Co.,4,0,0
Hood River Entertainment,4,0,0
SpringHill Entertainment,4,0,0
DC Films,3,"564,086,102","1,802,839,849"
Maverick Films,3,"522,364,166","1,137,610,548"
Mark Johnson,3,"504,756,173","1,228,404,586"
Dreamworks LLC,3,"464,878,671","956,519,431"
Hemisphere Media Capital,3,"452,398,349","1,534,275,658"
Jon Peters,3,"434,308,866","843,829,364"
Eddie Murphy Production,3,"405,499,640","724,280,938"
7 Bucks Productions,3,"374,891,432","971,571,873"
Radiant Productions,3,"374,137,787","899,284,250"
Douglas Wick,3,"365,096,320","810,892,716"
Seed Productions,3,"358,821,837","828,649,315"
Carolco Pictures,3,"353,365,791","809,707,175"
Lego Systems A/S,3,"340,838,447","623,528,255"
Mad Ghost Productions,3,"335,061,807","1,146,894,640"
Beaglepug,3,"327,794,414","884,080,177"
Lucamar,3,"319,637,775","619,659,058"
Callahan Filmworks,3,"318,256,659","488,115,912"
Arthur Sarkissian,3,"315,706,339","642,669,242"
Bernd Eichinger,3,"307,917,818","644,005,490"
2Dux2,3,"301,792,397","729,666,354"
Fuzzy Door,3,"300,142,125","773,230,770"
Lynda Obst Productions,3,"289,062,382","863,425,274"
Steven Spielberg,3,"276,936,489","576,942,849"
Esperanto Filmoj,3,"274,092,705","694,807,448"
New Republic Pictures,3,"255,595,804","548,198,262"
Hutch Parker,3,"253,174,824","841,732,430"
Tree Line Film,3,"249,549,353","517,630,690"
Bazmark,3,"248,565,516","680,383,388"
United Plankton Pictures,3,"248,410,641","453,064,436"
Robert Rehme,3,"247,886,880","504,780,938"
Tollin/Robbins,3,"245,866,167","340,608,596"
Bay Films,3,"235,149,245","680,802,118"
Guillermo del Toro,3,"223,582,629","656,750,015"
Moving Pictures,3,"223,271,376","331,085,778"
Sommers Company,3,"222,642,322","707,231,868"
Dickhouse,3,"219,232,711","332,588,812"
Lloyd Levin,3,"205,400,050","388,150,793"
Zhiv,3,"203,615,100","383,279,805"
Ivan Reitman Production,3,"201,534,845","317,931,537"
Horseshoe Bay,3,"198,023,124","353,149,242"
Hey Eddie,3,"196,742,778","351,695,429"
Peters Entertainment,3,"194,321,493","331,245,147"
Guy Walks Into a Bar,3,"186,430,094","272,113,538"
Neal Street,3,"185,466,299","446,908,940"
Levantine Films,3,"181,599,209","249,929,644"
Geffen Pictures,3,"179,898,944","314,679,229"
Hemdale,3,"176,052,820","216,071,102"
Ivanhoe Pictures,3,"175,319,554","289,639,273"
Chris Morgan Productions,3,"173,956,935","760,582,290"
Harbinger Pictures,3,"173,710,166","224,378,545"
Michael Bay,3,"172,905,798","280,054,722"
Martin Bregman,3,"170,002,424","254,977,424"
Pandemonium,3,"167,968,937","344,414,832"
Mike Zoss,3,"164,414,058","305,402,980"
Aversano Films,3,"161,844,110","277,044,605"
Radical Studios,3,"161,795,849","531,305,247"
Double Nickel Entertainment,3,"152,441,809","278,984,859"
Rahway Road,3,"151,993,018","317,892,369"
DayDay Films,3,"149,696,524","467,467,320"
First Light,3,"147,679,821","226,362,124"
Bedlam,3,"138,828,192","430,990,421"
Torridon Films,3,"137,873,872","330,475,786"
Kendrick Brothers Productions,3,"137,012,480","146,809,358"
Kickstart,3,"134,514,698","342,422,607"
DDY,3,"132,893,226","485,969,760"
Hoffman,3,"130,150,239","321,697,464"
MBST Entertainment,3,"128,748,888","143,501,434"
TF1 International,3,"126,915,202","458,255,754"
Team Downey,3,"124,166,453","297,467,446"
Imaginary Forces,3,"122,693,786","262,752,750"
Extension 765,3,"121,411,615","184,846,462"
FilmColony,3,"121,018,005","152,018,005"
Nikelodeon Movies,3,"118,627,117","212,956,024"
Buena Vista Intl,3,"116,628,947","253,792,747"
Jolie Pas,3,"116,488,736","170,522,319"
Gordon Company,3,"114,649,943","114,649,943"
Ad Hominem Enterpises,3,"113,935,817","237,832,902"
Mandalay Entertainment,3,"109,696,180","252,325,635"
Sketch Films,3,"108,123,354","249,482,245"
Erwin Brothers Entertainment,3,"107,744,970","110,651,874"
Jinks/Cohen Company,3,"98,337,331","181,310,859"
Blind Wink,3,"97,409,101","284,459,095"
Cinesite,3,"97,185,807","211,110,258"
Nelson Entertainment,3,"96,861,413","96,999,827"
Two Grown Men Productions,3,"92,985,003","156,557,977"
Toonbox Entertainment,3,"92,818,518","180,860,280"
Lovefilm,3,"92,249,623","234,510,352"
Madhouse Entertainment,3,"91,567,127","165,348,251"
Debra Martin Chase,3,"90,027,796","90,798,119"
Monolith Pictures,3,"89,449,418","295,761,838"
Deep River Films,3,"88,114,531","167,087,204"
3Pas Studios,3,"82,465,527","147,926,058"
Starlight Media,3,"78,998,734","105,724,176"
Insurge Pictures,3,"78,589,016","134,459,929"
Wyolah Films,3,"76,465,963","94,489,621"
Rastar Production,3,"75,508,798","84,008,798"
RVK,3,"74,927,281","279,213,905"
Pathe of a Cloud Eight,3,"72,734,731","149,587,799"
Matthew Vaughn,3,"71,328,492","228,508,342"
Panay Films,3,"71,284,294","82,581,792"
Film 360,3,"70,924,665","152,192,199"
Camelot Pictures,3,"70,452,683","206,023,292"
Baby Way,3,"69,058,110","103,242,494"
Reel FX,3,"68,263,342","138,399,934"
Cantillon Company,3,"67,161,693","158,528,874"
Versatil Cinema,3,"62,611,225","238,927,230"
Smokewood Entertainment Group,3,"62,580,174","85,752,730"
Calamity Films,3,"60,917,733","171,272,392"
Pathe Production,3,"59,377,648","158,506,036"
Linson Films,3,"57,043,164","159,323,216"
Edward R. Pressman,3,"56,356,376","150,544,802"
Bob Yari Productions,3,"55,541,359","101,379,979"
Channel Four Films,3,"53,106,241","243,301,218"
Troika Pictures,3,"51,872,378","69,836,507"
Scarlet Films,3,"51,448,355","128,570,263"
K Period Media,3,"50,178,843","84,757,159"
Interscope Communications,3,"49,700,907","74,793,411"
Figment Films,3,"49,428,296","150,424,955"
Lee Daniels Entertainment,3,"48,243,724","72,750,511"
Ascendant Pictures,3,"46,645,098","115,936,371"
Welle Entertainment,3,"45,729,221","91,513,111"
The Tea Shop & Film Company,3,"44,307,193","62,765,740"
Front Street Productions,3,"42,930,462","57,907,734"
Toff Guy Films,3,"42,082,218","147,695,501"
Inside Track,3,"41,737,649","92,012,639"
Gerber Pictures,3,"40,947,204","81,678,078"
Krasnoff/Foster Entertainment,3,"39,273,296","62,691,859"
Piki Films,3,"38,576,377","110,411,819"
Detour Filmproduction,3,"37,978,609","72,788,951"
Treehouse Films,3,"37,866,902","39,945,389"
Irish Dreamtime,3,"37,607,374","53,955,671"
10 West Studios,3,"36,604,927","41,028,441"
Acacia Entertainment,3,"36,269,542","47,535,369"
BBC Earth Films,3,"36,157,466","135,902,981"
Hybrid Productions,3,"34,729,091","34,729,091"
Overnight Films,3,"34,601,807","67,961,641"
SKA Films,3,"34,589,321","112,560,327"
Believe Entertainment,3,"34,572,513","38,994,051"
Hakuhoda,3,"34,407,709","361,544,093"
Tiger Aspect Pictures,3,"34,111,919","241,351,013"
Jacobson Company,3,"33,249,102","76,033,645"
Langley Park Pictures,3,"33,040,028","47,906,167"
Deepak Nayar,3,"32,925,318","60,046,623"
Picturehouse,3,"32,905,337","83,616,068"
Fake Empire,3,"32,847,788","45,884,788"
Harbour Pictures,3,"32,834,044","105,788,705"
Shaw Brothers Pictures,3,"32,656,328","154,349,696"
Pacific Film & Television Commission,3,"32,005,011","58,354,066"
Flavor Unit Films,3,"31,688,479","32,528,310"
Arcade Pictures,3,"30,822,614","47,476,916"
Main Journey,3,"30,315,788","128,116,784"
Storefront Pictures,3,"27,884,528","38,055,119"
Red Hawk Films,3,"27,600,957","49,284,160"
B-Reel Films,3,"27,573,754","48,383,774"
Transfilm Intl.,3,"27,399,282","111,168,928"
Evolution Independent,3,"27,298,285","60,611,845"
Monumental Pictures,3,"27,166,770","75,439,524"
Raindog Films,3,"26,879,325","50,695,485"
Isle of Man Film Comission,3,"26,163,457","62,054,816"
VIP Medienfonds 3,3,"26,054,083","65,447,962"
2 Entertain,3,"25,270,963","52,987,928"
A&M Films,3,"25,256,104","25,256,104"
Senator Entertainment,3,"25,178,918","29,902,216"
The Wales Creative IP Fund,3,"25,158,246","73,945,379"
Mott Street Pictures,3,"25,144,950","40,460,765"
RedRum Films,3,"25,106,325","56,977,537"
Robert Cort Productions,3,"24,747,793","38,977,933"
No Trace Camping,3,"24,560,681","53,664,910"
Paradis Film,3,"24,501,821","88,894,983"
Straight Up Films,3,"23,037,466","103,057,546"
Fierce Entertainmnet,3,"22,898,155","43,176,827"
Forty Acres and a Mule,3,"22,801,534","24,561,144"
Tremendum Pictures,3,"22,764,410","41,656,474"
Sandcastle 5 Productions,3,"22,486,676","28,860,015"
W9,3,"22,072,264","170,204,634"
Pretty Pictures,3,"21,328,665","83,986,433"
Le Studio Canal Plus,3,"21,179,997","34,739,711"
Media Talent Group,3,"20,483,712","21,745,062"
Exodus Film Group,3,"19,560,790","31,675,537"
Underground Films,3,"19,068,240","56,506,120"
Mediaset Espana,3,"19,032,332","208,143,092"
Westerly Films,3,"17,962,103","25,159,236"
Wales Screen,3,"17,892,960","36,850,552"
Tu Vas Voir,3,"17,075,440","55,741,639"
Saville Productions,3,"16,384,301","46,101,760"
NBC Film,3,"15,982,364","16,041,544"
Addis Wechsler,3,"15,838,383","15,838,383"
Astute Films,3,"15,021,758","15,036,756"
Process Films,3,"14,889,874","37,380,049"
Cineimage 10,3,"14,820,646","27,804,982"
The Bridge Finace Company,3,"14,439,985","32,821,212"
Soficinema 11,3,"14,321,034","22,639,949"
Rose Pictures,3,"14,231,778","17,886,755"
3D Entertainment Films,3,"13,811,578","33,946,375"
WT2 Productions,3,"13,791,332","32,028,228"
Warner Independent Pictures,3,"13,573,997","40,094,361"
Xeitgeist Entertainment Group,3,"13,497,422","33,524,832"
Anton Capital Investors,3,"13,298,478","41,775,221"
Court 13,3,"12,833,651","23,681,692"
Briarcliff Entertainment,3,"12,267,629","12,642,112"
The American Film Co,3,"12,179,643","17,523,818"
Voltage Films,3,"12,138,565","60,333,513"
A Likely Story,3,"11,524,179","21,535,266"
Vivendi Entertainment,3,"11,449,865","19,984,695"
Dream Factory Group,3,"11,431,159","26,564,804"
Emu Creek Pictures,3,"10,764,026","15,736,999"
Hamilton Entertainment,3,"9,695,789","29,260,766"
Deon Taylor Enterprises,3,"9,302,914","10,119,525"
Third Eye Motion Picture Company,3,"9,275,231","9,650,306"
