collection,number_of_movies,domestic_revenue,revnue,first_year,last_year,nu_of_years
The Conjuring,8,"$672,572,612","$1,905,364,983",2013,2020,7
Nightmare on Elm Street,9,"$361,659,872","$448,268,230",1984,2010,26
Grease,2,"$196,110,853","$401,807,262",1978,1982,4
Fantasia,2,"$152,930,858","$152,938,634",1940,1999,59
Hulk,3,"$582,042,436","$1,364,607,582",2003,2017,14
Night at the Museum,3,"$541,853,610","$1,335,434,091",2006,2014,8
Santa Clause,3,"$368,559,333","$470,125,976",1994,2006,12
Butch Cassidy and the Sundance Kid,2,"$102,308,900","$102,310,653",1969,1979,10
Madea,10,"$555,578,144","$558,593,220",2005,2019,14
Every Which Way But Loose,2,"$174,956,071","$174,956,071",1978,1980,2
American Pie,8,"$408,010,808","$884,447,474",1999,2012,13
Lego,11,"$598,623,165","$1,091,612,973",2014,2020,6
Godzilla,9,"$462,370,508","$1,376,960,447",1954,2020,66
American Graffiti,2,"$123,100,000","$148,100,000",1973,1979,6
Kung Fu Panda,4,"$524,212,273","$1,817,918,903",2008,2016,8
How to Train Your Dragon,3,"$555,383,661","$1,631,693,485",2010,2019,9
Police Academy,7,"$239,379,689","$239,379,689",1984,1994,10
Scream,4,"$331,728,968","$603,237,630",1996,2011,15
National Lampoon's Vacation,5,"$277,474,199","$320,896,511",1983,2015,32
Saw,8,"$454,735,710","$982,362,408",2004,2017,13
Wolverine,3,"$538,717,077","$1,406,744,006",2009,2017,8
Bad Boys,4,"$408,606,138","$832,855,737",1995,2020,25
Psycho,4,"$78,481,606","$78,481,606",1960,1993,33
The Secret Life of Pets,2,"$527,258,725","$1,321,045,927",2016,2019,3
Cheech & Chong,6,"$160,716,246","$160,716,246",1978,1984,6
It,2,"$540,422,102","$1,172,017,106",2017,2019,2
National Treasure,3,"$392,966,503","$788,649,214",2004,2007,3
Three Men and a Baby,2,"$239,390,281","$239,390,281",1987,1990,3
Spy Kids,4,"$348,835,365","$565,946,536",2001,2011,10
Hotel Transylvania,3,"$485,513,250","$1,375,067,108",2012,2018,6
Fugitive,2,"$241,709,363","$411,548,920",1993,1998,5
MonsterVerse,4,"$479,229,019","$1,473,448,043",2014,2020,6
Da Vinci Code,3,"$385,255,558","$1,478,215,672",2006,2016,10
Bruce Almighty,2,"$342,994,685","$658,599,937",2003,2007,4
Gremlins,2,"$189,644,556","$189,888,959",1984,1990,6
Porky's,3,"$163,769,750","$163,769,750",1982,1985,3
Predator,6,"$313,156,619","$741,185,941",1987,2018,31
Naked Gun,3,"$216,014,096","$216,014,096",1988,1994,6
Nutty Professor,2,"$252,121,964","$440,121,964",1996,2000,4
Alice in Wonderland,2,"$411,233,491","$1,302,419,222",2010,2016,6
Paranormal Activity,6,"$401,360,355","$890,417,130",2009,2015,6
Sherlock Holmes,3,"$395,877,097","$1,034,101,655",2009,2021,12
Doctor Dolittle,5,"$257,107,326","$470,258,326",1998,2009,11
Amityville,5,"$169,327,766","$220,971,236",1979,2017,38
Fantastic Four,3,"$342,735,366","$790,462,628",2005,2015,10
Jackass,6,"$356,293,735","$497,149,836",2002,2014,12
My Big Fat Greek Wedding,2,"$301,127,813","$466,986,592",2002,2016,14
Look Who's Talking,3,"$196,875,385","$353,886,572",1989,1993,4
Top Gun,2,"$179,800,601","$356,799,634",1986,2020,34
Sister Act,2,"$196,924,179","$288,919,029",1992,1993,1
Taken,3,"$374,111,700","$932,405,413",2008,2015,7
Honey I Shrunk the Kids,2,"$189,386,624","$281,362,452",1989,1992,3
Wonder Woman,2,"$412,563,408","$821,133,378",2017,2020,3
Wreck-It Ralph,2,"$390,504,388","$1,025,802,351",2012,2018,6
Unbreakable,3,"$344,189,196","$772,380,917",2000,2019,19
Ant-Man,3,"$396,850,903","$1,142,003,109",2015,2022,7
Dumb and Dumber,3,"$239,598,230","$429,246,448",1994,2014,20
Guns of Navarone,2,"$36,000,000","$36,019,576",1961,1978,17
Fantastic Beasts and Where to Find Them,3,"$393,593,476","$1,466,257,661",2016,2021,5
Pokemon,17,"$293,126,288","$1,096,127,032",1999,2019,20
300,2,"$317,194,990","$784,941,986",2007,2014,7
48 Hrs.,2,"$155,983,678","$228,683,678",1982,1990,8
Fifty Shades of Grey,3,"$381,009,000","$1,324,381,611",2015,2018,3
101 Dalmatians,2,"$203,130,853","$371,141,559",1996,2000,4
Ace Ventura,3,"$180,577,459","$319,617,396",1994,2009,15
Beauty and the Beast,2,"$206,333,165","$438,707,031",1991,2002,11
Maleficent,2,"$355,336,933","$1,247,917,175",2014,2019,5
Rugrats Movie,3,"$216,398,695","$299,622,530",1998,2003,5
Charlie's Angels,3,"$243,921,179","$560,117,832",2000,2019,19
Pitch Perfect,3,"$354,194,853","$589,406,227",2012,2017,5
The Divergent Series,3,"$347,311,018","$743,113,364",2014,2016,2
Texas Chainsaw Massacre,7,"$194,821,820","$246,541,552",1974,2013,39
Romancing the Stone,2,"$143,354,024","$183,354,024",1984,1985,1
Wayne's World,2,"$169,662,323","$231,062,323",1992,1993,1
21 Jump Street,2,"$330,167,004","$534,146,305",2012,2014,2
Omen,3,"$93,041,885","$93,048,431",1976,1981,5
Speed,2,"$169,345,226","$433,668,000",1994,1997,3
Final Destination,6,"$263,362,372","$657,627,377",2000,2011,11
City Slickers,2,"$167,474,738","$167,474,738",1991,1994,3
Mad Max,4,"$223,217,405","$530,593,920",1980,2015,35
Scooby-Doo,8,"$237,479,551","$457,151,160",2002,2020,18
Poltergeist,3,"$129,816,684","$176,816,684",1982,1988,6
Minions,2,"$336,045,770","$1,160,336,173",2015,2021,6
Airplane,2,"$108,463,033","$108,463,033",1980,1982,2
Father of the Bride,2,"$165,904,691","$165,904,691",1991,1995,4
Flintstones,2,"$165,762,573","$417,931,365",1994,2000,6
Resident Evil,7,"$270,827,255","$1,229,450,247",2002,2016,14
Man of Steel,1,"$330,360,194","$873,634,919",2016,2016,
Addams Family,2,"$159,796,101","$237,796,101",1991,1993,2
Stuart Little,3,"$204,972,030","$464,815,224",1999,2006,7
Odd Couple,2,"$63,439,562","$63,439,562",1968,1998,30
Blade,3,"$204,216,153","$416,929,454",1998,2004,6
Big Momma's House,3,"$225,640,824","$392,939,264",2000,2011,11
Ring,3,"$232,828,769","$493,077,496",2002,2017,15
Ted,2,"$300,142,125","$773,230,770",2012,2015,3
Grown Ups,2,"$295,669,711","$519,247,238",2010,2013,3
Terms of Endearment,2,"$121,191,304","$121,191,304",1983,1996,13
Cheaper by the Dozen,2,"$221,185,717","$325,227,443",2003,2005,2
Underworld,5,"$252,766,892","$539,817,686",2003,2016,13
G.I. Joe,4,"$272,724,558","$678,209,722",2000,2020,20
Blair Witch Project,3,"$187,737,474","$335,006,891",1999,2016,17
"Oh, God!",3,"$87,103,473","$87,103,473",1977,1984,7
Princess Diaries,2,"$203,394,209","$287,406,209",2001,2004,3
John Wick,4,"$306,082,706","$573,290,843",2014,2020,6
Rio,2,"$275,158,244","$980,366,100",2011,2014,3
Lara Croft,2,"$196,797,941","$430,423,128",2001,2003,2
Benji,5,"$79,063,152","$79,063,152",1974,2004,30
xXx,4,"$213,702,345","$683,307,291",2002,2020,18
The Purge,4,"$284,566,850","$458,370,786",2013,2018,5
Grumpy Old Men,2,"$141,691,124","$141,691,124",1993,1995,2
Sex and the City,2,"$247,994,950","$709,928,036",2008,2010,2
Mamma Mia,2,"$264,764,998","$1,010,952,888",2008,2018,10
SpongeBob SquarePants,3,"$248,410,641","$453,064,436",2004,2020,16
Arthur,2,"$96,145,678","$96,145,678",1981,1988,7
Legally Blonde,3,"$187,132,514","$267,148,323",2001,2009,8
Mask,2,"$136,938,551","$411,538,551",1994,2005,11
Hancock,2,"$227,946,274","$624,234,272",2008,2020,12
The Smurfs,3,"$258,652,224","$1,109,875,432",2011,2017,6
Under Siege,2,"$133,587,222","$260,887,222",1992,1995,3
Cloudy with a Chance of Meatballs,2,"$244,663,842","$511,220,326",2009,2013,4
Clash of the Titans,2,"$246,884,971","$798,484,971",2010,2012,2
Tron,2,"$198,981,339","$426,981,339",1982,2010,28
French Connection,3,"$53,944,428","$54,856,531",1971,2008,37
Child's Play,8,"$153,028,417","$217,126,407",1988,2019,31
Insidious,4,"$257,559,485","$555,057,527",2011,2018,7
Annabelle,3,"$260,518,605","$790,764,898",2014,2019,5
Barbershop,3,"$194,882,105","$197,310,075",2002,2016,14
Step Up,5,"$215,725,188","$668,821,858",2006,2014,8
Basic Instinct,2,"$123,673,360","$388,117,162",1992,2006,14
Daddy’s Home,2,"$254,386,580","$418,564,320",2015,2017,2
Anchorman,2,"$211,550,085","$261,722,488",2004,2013,9
Cannonball Run,2,"$85,598,710","$85,598,710",1981,1984,3
Elf,2,"$174,626,840","$221,464,732",2003,2015,12
Shaft,5,"$113,809,701","$150,671,941",1971,2019,48
The Maze Runner,3,"$242,157,497","$924,764,559",2014,2018,4
Mighty Ducks,3,"$119,292,816","$119,292,816",1992,1996,4
The Expendables,4,"$227,419,260","$789,708,808",2010,2019,9
Paul Blart: Mall Cop,2,"$217,427,772","$293,555,396",2009,2015,6
Journey to the Center of the Earth,2,"$205,564,660","$561,327,099",2008,2012,4
Zorro,2,"$139,404,081","$375,175,336",1998,2005,7
RoboCop,3,"$109,802,064","$109,802,064",1987,1993,6
Fallen,3,"$230,482,288","$501,438,465",2013,2019,6
Ride Along,2,"$225,065,250","$278,561,116",2014,2016,2
Miss Congeniality,2,"$155,285,673","$314,803,347",2000,2005,5
Analyze This,2,"$139,007,907","$231,880,415",1999,2002,3
The Little Mermaid,2,"$111,543,479","$222,299,758",1989,2008,19
Beethoven,5,"$109,616,418","$109,616,418",1992,2014,22
Free Willy,3,"$111,294,914","$187,294,914",1993,1997,4
Kingsman,3,"$228,496,562","$813,365,420",2015,2020,5
Cocoon,2,"$95,182,267","$95,182,267",1985,1988,3
Grudge,4,"$170,719,349","$307,528,219",2004,2019,15
Bad News Bears,2,"$56,349,782","$56,349,782",1976,1978,2
Mulan,2,"$120,620,254","$303,500,000",1998,2005,7
Hot Shots,2,"$106,886,158","$309,716,011",1991,1993,2
Get Shorty,2,"$127,870,409","$209,965,025",1995,2005,10
Lilo and Stitch,2,"$145,771,527","$245,800,000",2002,2005,3
Snow White and the Huntsman,2,"$203,139,770","$566,171,048",2012,2016,4
Flint,2,"$27,000,000","$27,000,000",1965,1967,2
Eddie Felson,2,"$59,893,000","$59,893,000",1961,1986,25
World War Z,1,"$202,359,711","$531,514,650",2013,2013,
Neighbors,2,"$205,427,530","$379,702,049",2014,2016,2
Garry Marshall's Holiday Franchise,3,"$197,523,151","$416,786,623",2010,2016,6
Road To …,2,"$7,700,000","$7,700,000",1940,1947,7
Thomas Crown Affair,3,"$83,304,264","$138,304,264",1968,2012,44
Blues Brothers,2,"$71,319,088","$71,319,088",1980,1998,18
I Know What You Did Last Summer,3,"$112,270,713","$165,270,713",1997,2006,9
Mortal Kombat,3,"$106,360,633","$173,460,633",1995,2020,25
