distributor,number_of_movies,budget,total_revenue,best_seller
Cohen Media Group, 70," $4,325,000"," $166,905,425", Dans la maison
Alchemy, 53," $16,205,556"," $158,487,430", Upside Down
Savoy, 16," $13,666,667"," $157,468,405", Shadowlands
Annapurna Pictures, 8," $27,033,333"," $157,025,041", Vice
Amazon Studios, 27," $21,214,286"," $155,448,464", Late Night
Broad Green Pictures, 23," $19,271,429"," $151,124,774", A Walk in the Woods
EuropaCorp, 6," $16,666,667"," $146,583,845", The Transporter Refueled
Strand, 246," $3,803,333"," $144,554,097", Auf der anderen Seite
Aviron Pictures, 6," $16,250,000"," $143,967,768", After
Kino Lorber, 192," $2,683,333"," $143,669,163", Di Qiu Zui Hou De Ye Wang
RADiUS-TWC, 27," $9,268,889"," $142,160,147", Snowpiercer
ThinkFilm, 91," $6,259,409"," $137,827,783", Before the Devil Knows You're Dead
Atlantic, 27," $3,000,000"," $133,760,005", Teen Wolf
National Geographic Enterta…, 18," $15,000,000"," $126,893,290", Sea Monsters: A Prehistoric Adventure
Allied Artists, 14, $0," $126,319,435", Papillon
nWave Pictures, 5, $0," $125,840,167", Encounter in the Third Dimension
Film Movement, 131," $520,000"," $125,393,878"," My Love, Don't Cross That River"
Fox International, 9," $13,000,000"," $124,038,150", Prem Ratan Dhan Payo
Anchor Bay Entertainment, 86," $5,715,909"," $122,736,597", Frozen
Distrib Films, 36," $7,500,000"," $122,449,733", El Nino
De Laurentiis Entertainment…, 16, $0," $121,651,895", Crimes of the Heart
Big Pictures, 12," $6,750,000"," $119,412,577", 3 Idiots
United Film Distribution Co., 8," $7,508,333"," $117,724,623", Dawn of the Dead
October Films, 45," $4,277,273"," $113,968,526", The Apostle
IDP Distribution, 13," $6,421,667"," $112,994,100", Tae Guik Gi: The Brotherhood of War
Sunn Classics Pictures, 4, $0," $112,500,000", In Search of Noah's Ark
20th Century Studios, 36," $125,000,000"," $109,068,692", The Call of the Wild
Associated Film Distributors, 9," $22,666,667"," $108,657,000", The Muppet Movie
Yari Film Group Releasing, 12," $14,750,000"," $103,898,877", The Illusionist
Indomina Releasing, 9," $3,450,000"," $93,827,239", Long men fei jia
Lionsgate Premiere, 30," $6,000,000"," $93,326,340", Ji Qi Zhi Xue
Vertical Entertainment, 156," $11,803,737"," $91,528,516", Snezhnaya koroleva 3. Ogon i led
Reliance Entertainment, 19, $0," $89,925,505", Toilet: Ek Prem Katha
AdLab Films, 12," $10,000,000"," $88,370,085", Ghajini
Kino International, 71," $5,024,778"," $87,565,894", La Pianiste
Pan Media & Entertainment, 2, $0," $85,917,999", Gwansang
Quartet Films, 2," $12,000,000"," $85,164,318", Das Boot
Fathom Events, 82," $10,000,000"," $84,124,617", Tonari no Totoro
Trimark, 37," $4,625,000"," $84,044,824", Eve's Bayou
Netflix, 71," $31,800,000"," $81,708,157"," Crouching Tiger, Hidden Dragon: Sword…"
Studio 18, 7, $0," $80,876,854", Singh is Kinng
Global Road, 4," $9,266,667"," $79,606,820", Show Dogs
Regent Releasing, 84," $1,500,000"," $78,303,234", Okuribito
The Orchard, 81," $1,975,000"," $75,470,909", Hunt for the Wilderpeople
3D Entertainment, 5," $5,500,000"," $75,089,447", Ocean Wonderland
Crown, 6," $5,500,000"," $74,726,250", My Tutor
American Cinema Releasing, 12, $0," $74,700,000", A Force of One
First Look, 51," $10,222,727"," $74,123,454", Bad Lieutenant: Port of Call New Orleans
Compass International, 2," $325,000"," $72,300,000", Halloween
Triumph Releasing, 14," $7,000,000"," $69,290,371", Sidekicks
Apparition, 6," $12,580,000"," $66,171,919", The Young Victoria
Rocky Mountain Pictures, 32," $5,650,000"," $66,064,574", 2016: Obama’s America
Clarius Entertainment, 6," $32,500,000"," $65,927,939", Legends of Oz: Dorothy’s Return
Pacific International, 3, $0," $65,619,175", The Adventures of the Wilderness Family
Zeitgeist, 105," $3,053,200"," $62,477,297", Sophie Scholl - Die letzten Tage
Oscilloscope Pictures, 113," $2,754,615"," $60,364,475", We Need to Talk About Kevin
Crimson Forest Entertainmen…, 3," $23,000,000"," $58,826,042", Ch?i d?n zhu?nji?
Magnet Pictures, 32," $2,487,500"," $58,716,888", Akmareul Boatda
Giant Screen Films, 8," $7,000,000"," $58,704,226", Adrenaline Rush: The Science of Risk
MPI Media Group, 15," $10,666,667"," $57,901,087", Les petits mouchoirs
Destination Films, 5," $12,400,000"," $57,429,589", Eye of the Beholder
IDP/Goldwyn/Roadside, 16," $2,730,714"," $57,256,571", Ladies in Lavender
Drafthouse Films, 37," $1,901,667"," $56,556,692", La French
